Species;Higuchi;Iffsc;Leveg
Pachystroma;;0.434934442;0.8
Pachystroma longifolium;;0.434934442;0.8
Parapiptadenia;0.683035577;0.719506698;0.85
Parapiptadenia rigida;0.683035577;0.719506698;0.85
Parinari;;0.701922079;
Parinari excelsa;;0.701922079;
Paulownia;;0.28;
Paulownia tomentosa;;0.28;
Pausandra;;0.434934442;
Pausandra morisiana;;0.434934442;
Peltophorum;;0.55516483;
Peltophorum dubium;;0.55516483;
Pera;;0.708502124;
Pera glabrata;;0.708502124;
Persea;;0.481831941;
Persea alba;;0.465109135;
Persea americana;;0.548723167;
Persea major;;0.465109135;
Persea venosa;;0.465109135;
Persea willdenovii;;0.465109135;
Phytolacca;;0.258;
